Id,Label,timeset,name,institute,department,year,title,reference,componentnumber
20423,齐利民,,齐利民,PEKING UNIVERSITY,化学科学部,2003,JQ,8.693161274,
20422,钦伦秀,,钦伦秀,FUDAN UNIVERSITY,医学科学部,2003,JQ,9.1146001,
20421,卿凤翎,,卿凤翎,DONGHUA UNIVERSITY,化学科学部,2003,JQ,8.691146499,
20420,邱勇,,邱勇,TSINGHUA UNIVERSITY,技术科学部,2013,JQ,9.021598247,
20419,邵学广,,邵学广,NANKAI UNIVERSITY,化学科学部,2003,JQ,7.03966035,
20418,沈波,,沈波,PEKING UNIVERSITY,信息科学部,2003,JQ,7.276556403,
20417,石碧,,石碧,SICHUAN UNIVERSITY,化学科学部,2003,JQ,8.19753874,
20416,苏晓东,,苏晓东,PEKING UNIVERSITY,生命科学部,2003,JQ,6.894670039,
20415,孙兵,,孙兵,CHINESE ACADEMY OF SCIENCES,医学科学部,2003,JQ,7.586296307,
20414,谈哲敏,,谈哲敏,NANJING UNIVERSITY,地球科学部,2003,JQ,5.627621114,
20413,汤善健,,汤善健,FUDAN UNIVERSITY,数理科学部,2003,JQ,5.855071922,
20412,唐颐,,唐颐,FUDAN UNIVERSITY,化学科学部,2003,JQ,8.263332667,
20411,陶绪堂,,陶绪堂,SHANDONG UNIVERSITY,工程与材料科学部,2003,JQ,8.63016467,
20410,宛新华,,宛新华,PEKING UNIVERSITY,化学科学部,2003,JQ,8.107720062,
20409,王赤,,王赤,CHINESE ACADEMY OF SCIENCES,科技创新领军人才,2016,JQ,7.834392303,
20408,王慧田,,王慧田,NANJING UNIVERSITY,数理科学部,2003,JQ,7.829630389,
20407,王建民,,王建民,TSINGHUA UNIVERSITY,信息科学部,2013,JQ,7.616775809,
20406,王晋辉,,王晋辉,CHINESE ACADEMY OF SCIENCES,生命科学部,2003,JQ,6.72982407,
20405,王文,,王文,CHINESE ACADEMY OF SCIENCES,科技创新领军人才,2012,JQ,4.94875989,
20404,吴爱祥,,吴爱祥,UNIVERSITY OF SCIENCE AND TECHNOLOGY BEIJING,工程与材料科学部,2003,JQ,4.852030264,
20403,郄秀书,,郄秀书,CHINESE ACADEMY OF SCIENCES,地球科学部,2003,JQ,6.568077911,
20402,夏佳文,,夏佳文,CHINESE ACADEMY OF SCIENCES,数理科学部,2003,JQ,5.958424693,
20401,谢胜利,,谢胜利,SOUTH CHINA UNIVERSITY OF TECHNOLOGY,信息科学部,2003,JQ,6.517671273,
20400,徐明厚,,徐明厚,HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,科技创新领军人才,2016,JQ,8.257644958,
20399,杨振忠,,杨振忠,CHINESE ACADEMY OF SCIENCES,科技创新领军人才,2016,JQ,8.3918567,
20398,俞书宏,,俞书宏,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,科技创新领军人才,2017,JQ,10.26095218,
20397,张化光,,张化光,NORTHEASTERN UNIVERSITY,信息科学部,2003,JQ,8.697178688,
20396,张立群,,张立群,BEIJING UNIVERSITY OF CHEMICAL TECHNOLOGY,工程与材料科学部,2007,JQ,8.460834458,
20395,章梅荣,,章梅荣,TSINGHUA UNIVERSITY,数理科学部,2003,JQ,6.366470448,
20394,郑波,,郑波,ZHEJIANG UNIVERSITY,数理科学部,2003,JQ,7.677863501,
20393,郑丽敏,,郑丽敏,NANJING UNIVERSITY,化学科学部,2003,JQ,7.8559322,
20392,周春生,,周春生,PEKING UNIVERSITY,管理科学部,2003,JQ,7.13009851,
20391,朱俊杰,,朱俊杰,NANJING UNIVERSITY,化学科学部,2003,JQ,9.064967719,
20390,左良,,左良,NORTHEASTERN UNIVERSITY,工程与材料科学部,2003,JQ,7.605890001,
20389,白海洋,,白海洋,CHINESE ACADEMY OF SCIENCES,工程与材料科学部,2002,JQ,7.154615357,
20388,陈红征,,陈红征,ZHEJIANG UNIVERSITY,工程与材料科学部,2002,JQ,8.674367866,
20387,陈明生,,陈明生,CHINESE ACADEMY OF SCIENCES,生命科学部,2002,JQ,7.878912912,
20386,崔铁军,,崔铁军,SOUTHEAST UNIVERSITY,信息科学部,2002,JQ,8.624970784,
20385,戴永久,,戴永久,BEIJING NORMAL UNIVERSITY,地球科学部,2002,JQ,8.283241441,
20384,方晓红,,方晓红,CHINESE ACADEMY OF SCIENCES,科技创新领军人才,2016,JQ,8.329899293,
20383,封东来,,封东来,FUDAN UNIVERSITY,数理科学部,2002,JQ,9.264260214,
20382,高明远,,高明远,CHINESE ACADEMY OF SCIENCES,化学科学部,2002,JQ,8.671115274,
20381,葛世荣,,葛世荣,CHINA UNIVERSITY OF MINING AND TECHNOLOGY,工程与材料科学部,2002,JQ,6.996681488,
20380,龚为民,,龚为民,CHINESE ACADEMY OF SCIENCES,生命科学部,2002,JQ,7.26612878,
20379,巩馥洲,,巩馥洲,CHINESE ACADEMY OF SCIENCES,数理科学部,2002,JQ,5.860786223,
20378,郭占成,,郭占成,CHINESE ACADEMY OF SCIENCES,工程与材料科学部,2002,JQ,4.927253685,
20377,胡事民,,胡事民,TSINGHUA UNIVERSITY,科技创新领军人才,2012,JQ,8.991935575,
20376,黄永箴,,黄永箴,CHINESE ACADEMY OF SCIENCES,信息科学部,2002,JQ,7.201170883,0
20375,赖远明,,赖远明,CHINESE ACADEMY OF SCIENCES,技术科学部,2011,JQ,7.599901959,
20374,李贺军,,李贺军,NORTHWESTERN POLYTECHNICAL UNIVERSITY,工程与材料科学部,2002,JQ,8.610501369,
20373,李建奇,,李建奇,CHINESE ACADEMY OF SCIENCES,数理科学部,2002,JQ,7.819636302,
20372,李勇,,李勇,JILIN UNIVERSITY,工程与材料科学部,2018,JQ,9.52966645,
20371,李有泉,,李有泉,ZHEJIANG UNIVERSITY,数理科学部,2002,JQ,6.37331979,
20370,刘昌俊,,刘昌俊,TIANJIN UNIVERSITY,化学科学部,2002,JQ,8.225770799,
20369,刘维屏,,刘维屏,ZHEJIANG UNIVERSITY OF TECHNOLOGY,化学科学部,2002,JQ,8.403800504,
20368,罗永章,,罗永章,TSINGHUA UNIVERSITY,生命科学部,2002,JQ,6.777646594,
20367,潘卫庆,,潘卫庆,SECOND MILITARY MEDICAL UNIVERSITY,医学科学部,2002,JQ,5.899897354,
20366,曲晓刚,,曲晓刚,CHINESE ACADEMY OF SCIENCES,化学科学部,2002,JQ,8.853522561,
20365,任忠鸣,,任忠鸣,SHANGHAI UNIVERSITY,工程与材料科学部,2002,JQ,6.705639095,
20364,邵久书,,邵久书,BEIJING NORMAL UNIVERSITY,化学科学部,2002,JQ,5.129898715,
20363,施毅,,施毅,NANJING UNIVERSITY,信息科学部,2002,JQ,9.118444357,
20362,石高全,,石高全,TSINGHUA UNIVERSITY,工程与材料科学部,2002,JQ,9.251386341,
20361,孙青原,,孙青原,CHINESE ACADEMY OF SCIENCES,生命科学部,2002,JQ,8.157370441,
20360,涂善东,,涂善东,EAST CHINA UNIVERSITY OF SCIENCE AND TECHNOLOGY,工程与材料科学部,2002,JQ,6.777646594,
20359,汪小帆,,汪小帆,SHANGHAI JIAO TONG UNIVERSITY,信息科学部,2002,JQ,9.217117356,
20358,王沥,,王沥,CHINESE ACADEMY OF SCIENCES,生命科学部,2002,JQ,7.085064294,
20357,王如竹,,王如竹,SHANGHAI JIAO TONG UNIVERSITY,科技创新领军人才,2016,JQ,8.667680025,
20356,王献红,,王献红,CHINESE ACADEMY OF SCIENCES,化学科学部,2002,JQ,8.286269453,
20355,王贻芳,,王贻芳,CHINESE ACADEMY OF SCIENCES,数学物理学部,2015,JQ,7.205635176,
20354,王悦,,王悦,JILIN UNIVERSITY,工程与材料科学部,2002,JQ,8.331104548,
20353,韦大明,,韦大明,CHINESE ACADEMY OF SCIENCES,数理科学部,2002,JQ,6.941190055,
20352,吴晨旭,,吴晨旭,XIAMEN UNIVERSITY,数理科学部,2002,JQ,6.200509174,
20351,吴李君,,吴李君,CHINESE ACADEMY OF SCIENCES,数理科学部,2002,JQ,4.828313737,
20350,吴兴龙,,吴兴龙,NANJING UNIVERSITY,数理科学部,2002,JQ,7.050989447,
20349,吴云东,,吴云东,PEKING UNIVERSITY,化学部,2005,JQ,9.05134464,
20348,谢平,,谢平,CHINESE ACADEMY OF SCIENCES,生命科学部,2002,JQ,8.26436333,
20347,熊仁根,,熊仁根,NANJING UNIVERSITY,化学科学部,2002,JQ,8.001355026,
20346,徐寄遥,,徐寄遥,CHINESE ACADEMY OF SCIENCES,地球科学部,2002,JQ,6.864847778,
20345,许祝安,,许祝安,ZHEJIANG UNIVERSITY,数理科学部,2002,JQ,7.461640392,
20344,颜毅华,,颜毅华,CHINESE ACADEMY OF SCIENCES,数理科学部,2002,JQ,7.211556733,
20343,杨德仁,,杨德仁,ZHEJIANG UNIVERSITY,科技创新领军人才,2016,JQ,9.701922012,0
20342,杨合,,杨合,NORTHWESTERN POLYTECHNICAL UNIVERSITY,工程与材料科学部,2002,JQ,7.149131599,
20341,于贵瑞,,于贵瑞,CHINESE ACADEMY OF SCIENCES,生命科学部,2002,JQ,8.335191583,
20340,张传茂,,张传茂,PEKING UNIVERSITY,生命科学部,2002,JQ,8.138272639,
20339,张洪武,,张洪武,DALIAN UNIVERSITY OF TECHNOLOGY,数理科学部,2002,JQ,8.543250726,
20338,张平文,,张平文,PEKING UNIVERSITY,数学物理学部,2015,JQ,8.276903481,
20337,张政军,,张政军,TSINGHUA UNIVERSITY,工程与材料科学部,2002,JQ,7.688455357,0
20336,赵红卫,,赵红卫,CHINESE ACADEMY OF SCIENCES,数理科学部,2002,JQ,8.380685947,
20335,赵亚溥,,赵亚溥,CHINESE ACADEMY OF SCIENCES,数理科学部,2002,JQ,8.15075647,
20334,郑仕标,,郑仕标,FUZHOU UNIVERSITY,数理科学部,2002,JQ,7.018401799,
20333,周忆,,周忆,FUDAN UNIVERSITY,数理科学部,2002,JQ,4.736198448,
20332,宗传明,,宗传明,PEKING UNIVERSITY,数理科学部,2002,JQ,6.086774727,
20331,邹冰松,,邹冰松,CHINESE ACADEMY OF SCIENCES,数理科学部,2002,JQ,7.711101252,
20330,蔡祖聪,,蔡祖聪,CHINESE ACADEMY OF SCIENCES,地球科学部,2001,JQ,8.676246121,
