Source,Target,Type,Id,Label,timeset,Weight,value
20170,21245,Undirected,16855,,,3,3
20710,40164,Undirected,16856,,,302,302
21371,40194,Undirected,16857,,,10,10
20314,30413,Undirected,16858,,,2,2
10303,20570,Undirected,16859,,,6,6
20284,40085,Undirected,16860,,,1,1
20967,21685,Undirected,16861,,,5,5
20121,20361,Undirected,16862,,,1,1
21258,30076,Undirected,16863,,,2,2
30076,40111,Undirected,16864,,,2,2
10005,40081,Undirected,16865,,,16,16
20051,20529,Undirected,16866,,,2,2
20477,30368,Undirected,16867,,,4,4
10742,20965,Undirected,16868,,,1,1
40097,90002,Undirected,16869,,,4,4
20765,20873,Undirected,16870,,,1,1
20967,21681,Undirected,16871,,,3,3
20128,21316,Undirected,16872,,,2,2
10016,21275,Undirected,16873,,,1,1
11159,40159,Undirected,16874,,,35,35
20579,60022,Undirected,16875,,,1,1
20157,20434,Undirected,16876,,,3,3
20033,20294,Undirected,16877,,,1,1
10484,20168,Undirected,16878,,,2,2
10021,10493,Undirected,16879,,,2,2
10265,21448,Undirected,16880,,,1,1
20795,30244,Undirected,16881,,,1,1
10143,30100,Undirected,16882,,,7,7
20671,21753,Undirected,16883,,,2,2
21069,21732,Undirected,16884,,,1,1
20372,30389,Undirected,16885,,,1,1
10747,11411,Undirected,16886,,,6,6
11243,21531,Undirected,16887,,,1,1
10413,10626,Undirected,16888,,,3,3
10063,20058,Undirected,16889,,,122,122
11240,20104,Undirected,16890,,,1,1
10432,30170,Undirected,16891,,,3,3
20113,30082,Undirected,16892,,,1,1
21443,60036,Undirected,16893,,,2,2
10838,20066,Undirected,16894,,,1,1
20266,20762,Undirected,16895,,,5,5
11061,20581,Undirected,16896,,,1,1
10805,11181,Undirected,16897,,,1,1
20363,40097,Undirected,16898,,,2,2
10399,21494,Undirected,16899,,,6,6
21157,40123,Undirected,16900,,,134,134
20056,21265,Undirected,16901,,,2,2
20167,21421,Undirected,16902,,,1,1
20985,60036,Undirected,16903,,,1,1
10093,10243,Undirected,16904,,,1,1
20538,20867,Undirected,16905,,,1,1
10063,11204,Undirected,16906,,,1,1
40023,50034,Undirected,16907,,,3,3
20102,20356,Undirected,16908,,,1,1
20306,20315,Undirected,16909,,,9,9
10738,11380,Undirected,16910,,,1,1
10738,11383,Undirected,16911,,,2,2
10137,21603,Undirected,16912,,,2,2
11378,20872,Undirected,16913,,,1,1
10282,21770,Undirected,16914,,,1,1
21133,40028,Undirected,16915,,,1,1
10968,11380,Undirected,16916,,,16,16
30319,50049,Undirected,16917,,,101,101
11246,20694,Undirected,16918,,,1,1
10671,20542,Undirected,16919,,,2,2
20004,21097,Undirected,16920,,,1,1
10074,20042,Undirected,16921,,,1,1
20111,40086,Undirected,16922,,,11,11
21119,21478,Undirected,16923,,,5,5
10303,10862,Undirected,16924,,,4,4
20632,21601,Undirected,16925,,,1,1
20296,21202,Undirected,16926,,,1,1
10750,30140,Undirected,16927,,,2,2
20328,20822,Undirected,16928,,,2,2
10212,10380,Undirected,16929,,,1,1
21116,40058,Undirected,16930,,,4,4
20434,21085,Undirected,16931,,,2,2
10255,10312,Undirected,16932,,,1,1
20497,60086,Undirected,16933,,,3,3
20595,60005,Undirected,16934,,,1,1
11128,21730,Undirected,16935,,,8,8
20668,21125,Undirected,16936,,,1,1
20306,20512,Undirected,16937,,,2,2
10782,21254,Undirected,16938,,,3,3
10198,11316,Undirected,16939,,,1,1
21586,40185,Undirected,16940,,,1,1
20306,40134,Undirected,16941,,,1,1
10983,20471,Undirected,16942,,,38,38
10451,20802,Undirected,16943,,,3,3
10715,11335,Undirected,16944,,,1,1
20913,30325,Undirected,16945,,,1,1
20484,21028,Undirected,16946,,,3,3
21038,21416,Undirected,16947,,,13,13
10070,21544,Undirected,16948,,,1,1
10632,21036,Undirected,16949,,,1,1
10377,21552,Undirected,16950,,,16,16
21613,40034,Undirected,16951,,,1,1
20683,20980,Undirected,16952,,,6,6
21532,40138,Undirected,16953,,,1,1
21129,50064,Undirected,16954,,,9,9
20034,21167,Undirected,16955,,,4,4
20382,30393,Undirected,16956,,,1,1
10190,20219,Undirected,16957,,,1,1
20422,30268,Undirected,16958,,,1,1
20981,40139,Undirected,16959,,,16,16
20006,21336,Undirected,16960,,,5,5
10936,20938,Undirected,16961,,,3,3
20160,60051,Undirected,16962,,,4,4
20160,40169,Undirected,16963,,,1,1
10751,20266,Undirected,16964,,,31,31
20347,21140,Undirected,16965,,,1,1
10470,30244,Undirected,16966,,,1,1
20246,21544,Undirected,16967,,,1,1
10229,10833,Undirected,16968,,,1,1
20944,21828,Undirected,16969,,,1,1
10943,20372,Undirected,16970,,,1,1
21566,60051,Undirected,16971,,,2,2
10798,40191,Undirected,16972,,,158,158
10528,30333,Undirected,16973,,,2,2
10046,20428,Undirected,16974,,,1,1
30238,30341,Undirected,16975,,,2,2
20341,21707,Undirected,16976,,,17,17
20111,21730,Undirected,16977,,,1,1
21593,50027,Undirected,16978,,,1,1
20460,90021,Undirected,16979,,,1,1
30322,40055,Undirected,16980,,,1,1
